Kansas,,,
Keyword,Grade/Area,Part of Document,
Religion/Religious,Ancient/ World History,Course Description Overview,"They will investigate major religions and their impact on governments, society, and culture."
Religion/Religious,Ancient/ World History,Course Description Overview,"Particular focus should be placed on the development of government institutions, culture, religion/philosophy, and cross-cultural trafe"
Religion/Religious,Ancient/ World History,Early River Civilizations,"Ideas: writing, agriculture, religion, conflict & conquest, polytheism, monotheism, Judaism, Islam, Hinduism, Confucianism, Buddhism, government, codifying laws (Hammurabi s Code), caste system, Mandate of Heaven, Right of Kings"
Religion/Religious,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,Sample compelling qs: How does religion shape society?
Religion/Religious,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,Sample Compelling qs: How might reliigon define or refine a society over time?
Religion/Religious,Ancient/ World History,Civilizations and Societies of the Mediterranean and Middle East,Sample compelling q: How did the rapid rise of Islam impact the existing religions in the region into which it spread?
Religion/Religious,Ancient/ World History,Central and South American Civilizations,"They will investigate religion, family and social structure, government, trade, and innovations of the Mayas, Aztecs, and Incas."
Religion/Religious,Ancient/ World History,Central and South American Civilizations,Sample compelling qs: How do religious practices change societies?
Religion/Religious,Ancient/ World History,European Civilizations,Instruction will examine the conflicts between religious and political leaders and how they shaped society and culture.
Religion/Religious,Geography,Suggested Content Topics,"Human Geography: Government, Economics, and Religion"
Religion/Religious,Geography,Suggested Content Topics,How do religious and economic choices affect a region s political systems?
Religion/Religious,Geography,Suggested Content Topics,"What role do individual rights play in political, economic, and religious systems?"
Religion/Religious,Geography,Suggested Content Topics,"How do political, economic, and/or religious beliefs shape a culture?"
Religion/Religious,Geography,Suggested Content Topics,"What system would be easiest to change: political, economic, or religious?"
Religion/Religious,Geography,Suggested Content Topics,"What tension exists between political, economic, and religious systems within a culture?"
Religion/Religious,Geography,"Government, Economics, and Religion","Students should be introduced to human geography with a concentration on government, economics, and religion."
Religion/Religious,Geography,"Government, Economics, and Religion","Ideas: democracies, monarchies, dictatorships, oligarchies, military states, command economy, market economy, mixed market economy, communism, socialism, impact of religion on development, Buddhism, Christianity, Hinduism, Islam, Judaism, Sikhism, etc."
Spirit/spiritual,,,
Holiday,,,
Christian/Christmas,Ancient/ World History,Early River Civilizations,"Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy, Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Islam, Caliphate, Islamic Golden Age, Abbasid Empire, Ibn Battuta"
