State,Indiana,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
IN,Keyword,Grade/Area,Standard Code,,
IN,Religion/Religious,6,History Learning Outcome,"Students explore the key historic movements,events, and contributed developments, examining religious institutions, trade and cultural interactions,political institutions,and technological developments.",
IN,Religion/Religious,6,6.H.2,"Describe and compare the beliefs, the spread,and the influence of religion throughout Europe and Mesoamerica.","Examples: Judaism, Christianity, Islam, native practices in Mesoamerica And Europe."
IN,Religion/Religious,6,6.H.10,"Explain the origin and spread Of Scientific, political, and social ideals associated with the Age of Enlightenment/AgeofReason","Examples: American and French Revolutions and the spread of democratic ideals, the Scientific Revolution, and resulting influence on resulting assimilation of religious groups."
IN,Religion/Religious,6,6.H.4,"Identify and explain the development and organization of political,cultural,social,and economic systems in Europe and America.","Examples: feudal system, manorial system, rise of kingdoms and empires, and. religious institutions"
IN,Religion/Religious,6,6.CIV.2,"Identify and explain essential ideas of constitutional government, which include government, rule law, process law, separation, checks nd balances, federalism, government, republicanism, government, and individual rights, liberty, and property; freedom.",
IN,Religion/Religious,6,6.CIV.4,Describe and give examples of individual rights guaranteed by the Bill of Rights.(E),Examples: The right to associate with whomever one pleases; the right to practice the religion of one s choice; the right to speak freely and criticize the government; the right to due process; and the right to be protected from unreasonable search and seizure; when those rights could cause conflict or disagreement.
IN,Religion/Religious,6,6.CIV.6,"Describe individual rights held under Article I of the Indiana Constitution, such as freedom of speech and freedom of religion.",
IN,Religion/Religious,7,7.H.1,"Identify and explain the conditions that led to the rise of early river valley civilizations and evaluate how the achievements in art, architecture, written language, and religion of those civilizations are related to their respective forms of government and social hierarchies. (E)","Examples: River civilizations include Nile River Valley (ancient Egypt), Tigris and Euphrates rivers (Mesopotamia), Indus River (India/Pakistan), and Huang He River (ancient China)."
IN,Religion/Religious,7,7.H.2,"Describe, compare, and contrast the historical origins, central beliefs, and spread of major religions. (E)","Examples: Hinduism, Buddhism, Sikhism, Judaism, Christianity, and Islam."
IN,Religion/Religious,8,8.H.19,"Give examples of how immigration affected American culture in the decades before and after the Civil War, including growth of industrial sites in the North; religious differences; tensions between middle-class and working-class people, particularly in the Northeast; and intensification of cultural differences between the North and the South.",
IN,Spirit/Spiritual,NA,,,
IN,Holidays,N/a,,,
IN,Christian/Christmas,6,6.H.2,"Describe and compare the beliefs, the spread,and the influence of religion throughout Europe and Mesoamerica. Examples: Judaism, Christianity, Islam, native practices in Mesoamerica And Europe.",
IN,Christian/Christmas,6,6.H.3,Explain The Continuation And Contributions Of the Eastern Roman Empire(Byzantine Empire)after the fall of the Western Roman Empire. (E),Examples: influence of the spread of Christianity inRussiaandEasternEurope.
