Massachusetts,,,,,,
Keyword,Grade/Area,,,,,
Religion/Religious,Guiding Principles for Effective History and Social Science Education,Guiding Principle 2,"An effective history and social science education incorporates diverse perspectives and acknowledges that perceptions of events are affected by race, ethnicity, culture, religion, education, gender, gender identity, sexual orientation, disability, and personal experience.",,,
Religion/Religious,Guiding Principles for Effective History and Social Science Education,Guiding Principle 5,". Under this broad umbrella are the history of the arts, philosophy and ethics, and religions, and developments in science, technology, and mathematics. Electives at the high school level might include study of regions of the world, anthropology, Constitutional law, criminology, sociology, state or local history and politics, world religions, human rights, or other topics and might include capstone research projects.",,,
Religion/Religious,6,"Topic 2. Human origins, the Neolithic and Paleolithic Eras [6.T2]","Explain that scholars have attempted to define the characteristics of a complex society (sometimes called civilization ) since the early 20th century, and although debates are ongoing, many cite these characteristics:","e. developed systems of government, religion, and learning",,
Religion/Religious,6,"Topic 3: Western Asia, the Middle East and North Africa: Mesopotamia, c. 3500 1200 BCE [6.T3b]",Analyze the important characteristics and achievements of early Mesopotamia.,b. a religion based on polytheism (the belief in many gods),,
Religion/Religious,6,"Topic 3: c. Ancient Egypt, c. 3000 1200 BCE [6.T3c]","Describe the polytheistic religion of ancient Egypt with respect to beliefs about death, proper behavior, the afterlife, mummification, and the roles of deities.",,,
Religion/Religious,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,"a. monotheistic religion (e.g., the belief in one God, the Ten Commandments, the emphasis on individual worth and personal responsibility, the belief that rulers and the ruled must adhere to the same moral obligations)",,
Religion/Religious,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,"c. the emergence of Christianity as a distinct religion, with roots in Judaism, but increasingly diverse followers throughout the Roman Empire and the relationship of early Christians to the officials of the Roman Empire.",,
Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],"On a map of the Arabian Peninsula, identify the Red Sea and the cities of Mecca and Medina as the sites of the beginning of the Muslim religion.",,,
Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],Explain Islam s historical relationship to Judaism and Christianity as monotheistic religions.,,,
Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],Describe the life and teachings of Muhammad (570-c. 632 CE) and the significance of the Qur an as the primary source of Islamic belief.,"Clarification statement: This is intended as a brief introduction to the historical beginnings of one of the major world religions practiced today; in addition to learning about the beginnings of Judaism, Christianity, and Islam in grade 6, students will learn about Hinduism, Buddhism, Confucianism and Daoism in grade 7.",,
