State,Massachusetts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
MA,Keyword,Grade/Area,,,
MA,Religion/Religious,Guiding Principles for Effective History and Social Science Education,Guiding Principle 2,"An effective history and social science education incorporates diverse perspectives and acknowledges that perceptions of events are affected by race, ethnicity, culture, religion, education, gender, gender identity, sexual orientation, disability, and personal experience.",
MA,Religion/Religious,Guiding Principles for Effective History and Social Science Education,Guiding Principle 5,". Under this broad umbrella are the history of the arts, philosophy and ethics, and religions, and developments in science, technology, and mathematics. Electives at the high school level might include study of regions of the world, anthropology, Constitutional law, criminology, sociology, state or local history and politics, world religions, human rights, or other topics and might include capstone research projects.",
MA,Religion/Religious,6,"Topic 2. Human origins, the Neolithic and Paleolithic Eras [6.T2]","Explain that scholars have attempted to define the characteristics of a complex society (sometimes called civilization ) since the early 20th century, and although debates are ongoing, many cite these characteristics:",
MA,Religion/Religious,6,"Topic 3: Western Asia, the Middle East and North Africa: Mesopotamia, c. 3500 1200 BCE [6.T3b]",Analyze the important characteristics and achievements of early Mesopotamia.,
MA,Religion/Religious,6,"Topic 3: c. Ancient Egypt, c. 3000 1200 BCE [6.T3c]","Describe the polytheistic religion of ancient Egypt with respect to beliefs about death, proper behavior, the afterlife, mummification, and the roles of deities.",
MA,Religion/Religious,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,Religion/Religious,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],"On a map of the Arabian Peninsula, identify the Red Sea and the cities of Mecca and Medina as the sites of the beginning of the Muslim religion.",
MA,Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],Explain Islam s historical relationship to Judaism and Christianity as monotheistic religions.,
MA,Religion/Religious,6,Topic 3: f. The ancient Arabian Peninsula (7th century CE) [6.T3f],Describe the life and teachings of Muhammad (570-c. 632 CE) and the significance of the Qur an as the primary source of Islamic belief.,
MA,Religion/Religious,7,"Topic 1: Significant ancient societies, empires, religions, and cultures in Central and South Asia","Explain the ways in which early Indian and Central Asian societies interacted with East African, Western Asian, and European societies (e.g., by conquest, trade, colonization, diffusion of religion, language, and culture).",
MA,Religion/Religious,7,"Topic 2: Early East Asian societies, religions, and cultures Ancient China, c. 1600 BCE 500 CE [7.T2b]","Describe important economic, political, and religious developments in early Chinese history and evaluate the ways in which they are similar to or different from the characteristics of societies in other regions of the world.",
MA,Religion/Religious,7,"Topic 2: Ancient Japan and Korea, c.300 BCE 1300 CE [7.T2c]","Describe the impact of encounters, such as through trade, religion, and conquest, among the ancient civilizations of China, Japan, and Korea.",
MA,Religion/Religious,8,"a. Interpretations of freedoms of religion, assembly, press, petition, and speech under the First Amendment;","Research, analyze, and report orally or in writing on one area (a, b, or c, below) in which Supreme Court decisions have made significant changes over time in citizens lives.",
MA,Spirit/spiritual,NA,,,
MA,Holiday,NA,,,
MA,Christian/Christmas,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,Christian/Christmas,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,Christian/Christmas,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]::Describe the history of ancient Israel and early Christianity:"
MA,Christian/Christmas,6,Topic 3: The ancient Arabian Peninsula (7th century CE) [6.T3f],Explain Islam s historical relationship to Judaism and Christianity as monotheistic religions.,
MA,Christian/Christmas,6,"Topic 4: Selected Sub-Saharan African states and societies, c. 1001000 CE [6.T4b]","Identify the location, sources of wealth, and importance of the Kingdom of Axum (c. 100-940 CE); explain the role it played in the adoption of Christianity in Ethiopia and the role east African societies played in the spread of Islam to South Asia,",
MA,Muslim/Islam/Ramadan,6,Topic 3: The ancient Arabian Peninsula (7th century CE) [6.T3f],"On a map of the Arabian Peninsula, identify the Red Sea and the cities of Mecca and Medina as the sites of the beginning of the Muslim religion.",
MA,Muslim/Islam/Ramadan,6,Topic 3: The ancient Arabian Peninsula (7th century CE) [6.T3f],Explain Islam s historical relationship to Judaism and Christianity as monotheistic religions.,
MA,Muslim/Islam/Ramadan,6,Topic 3: The ancient Arabian Peninsula (7th century CE) [6.T3f],Describe the life and teachings of Muhammad (570-c. 632 CE) and the significance of the Qur an as the primary source of Islamic belief.,
MA,Muslim/Islam/Ramadan,6,"Interactions among ancient societies in Western Asia, North Africa, and the Middle East [6.T3g]","Use information from primary and secondary sources to research contributions of one of the ancient Mesopotamian, Egyptian, Phoenician, Israelite, Islamic, and Eurasian societies to the modern world.",
MA,Muslim/Islam/Ramadan,6,"Topic 4: Selected Sub-Saharan African states and societies, c. 1001000 CE [6.T4b]","Identify the location, sources of wealth, and importance of the Kingdom of Axum (c. 100-940 CE); explain the role it played in the adoption of Christianity in Ethiopia and the role east African societies played in the spread of Islam to South Asia,",
MA,Muslim/Islam/Ramadan,6,"Topic 4: Selected Sub-Saharan African states and societies, c. 1001000 CE [6.T4b]","Explain the pivotal role these societies played in the trans-Saharan trade, the spread of Islam, and trade with North Africa, Europe, West Asia in gold, ivory, and slaves and the contributions of these societies to the modern world.",
MA,Jew/Judaism/Hanukah/Holocaust,6,"Topic 3: Interactions among ancient societies in Western Asia, North Africa, and the Middle East [6.T3g]","Use information from primary and secondary sources to research contributions of one of the ancient Mesopotamian, Egyptian, Phoenician, Israelite, Islamic, and Eurasian societies to the modern world.",
MA,Jew/Judaism/Hanukah/Holocaust,6,"Topic 3: Ancient Israel, Palestine, c. 2000 BCE 70 CE [6.T3e]",Describe the history of ancient Israel and early Christianity:,
MA,Jew/Judaism/Hanukah/Holocaust,6,Topic 3: The ancient Arabian Peninsula (7th century CE) [6.T3f],Explain Islam s historical relationship to Judaism and Christianity as monotheistic religions.,
MA,Hindu,7,"Topic 1: Early Indian and Central Asian civilizations, religions, and cultures [7.T1b]","Describe important economic, political, and religious developments in Indian and Central Asian history and evaluate the ways in which they conform to or differ from developments in societies in other regions of the world.",
MA,Buddhism,7,"Topic 1: Early Indian and Central Asian civilizations, religions, and cultures [7.T1b]","Describe important economic, political, and religious developments in Indian and Central Asian history and evaluate the ways in which they conform to or differ from developments in societies in other regions of the world.",
MA,Buddhism,7,"Topic 2: Early East Asian societies, religions, and cultures Ancient China, c. 1600 BCE 500 CE [7.T2b]","Describe important economic, political, and religious developments in early Chinese history and evaluate the ways in which they are similar to or different from the characteristics of societies in other regions of the world.",
MA,Buddhism,7,"Topic 2: Ancient Japan and Korea, c.300 BCE 1300 CE [7.T2c]","Trace the spread of Buddhism from India in the 4th century BCE to China, Korea, and Japan, and its development in Japan from the 6th through the 13th century CE; explain significant cultural contributions of ancient Japan (e.g., Buddhist philosophy, art, calligraphy, and temple and landscape architecture).",
MA,Sikh,NA,,,
MA,Mormon,NA,,,
